body,title,url
"Un grupo de estudiantes blancos de la ciudad de Aledo, ubicada en el estado de Texas, en Estados Unidos, realizaron una supuesta 'subasta de esclavos' en la que pretendían ‘vender’ a sus compañeros afroamericanos.","Indigna ""subasta de esclavos"" realizada por alumnos de EU; ofrecían a sus compañeros afroamericanos",https://www.eluniversal.com.mx/mundo/racismo-jovenes-de-eu-ofrecen-sus-companeros-afroamericanos-en-subasta
"Si se cree que las telenovelas educaron emocionalmente a muchas generaciones de mexicanos, las baladas románticas quizá también hicieron su aporte en mostrarle a la mujer de los 80 cómo debía amar o cuál era su papel en la sociedad.","Así eran las baladas de los 80, una época de sumisión y represión para la mujer",https://www.eluniversal.com.mx/espectaculos/las-baladas-de-los-80-que-mostraban-sumision-de-la-mujer
"
Nos cuentan que, desde Sonora, el proceso electoral local acumula mechas prendidas por doquier, sobre todo en Morena, por las inconformidades en las asignaciones de candidaturas, donde resalta el registro por la alcaldía de Bavispe de Celia Durazo Montaño, hermana del candidato a gobernador, Alfonso Durazo. El tema, nos indican, es que los morenistas de cepa advierten que doña Celia ya buscó el mismo cargo en 2018, pero entonces ni la coalición Juntos Hacemos Historia (Morena, PT, PES) logró hacerla ganar, por lo que su nombre en la boleta suena más a amiguismo, que estrategia. Pero no es el único caso, nos indican, pues también está doña Celeste Taddei Arriola, hija del superdelegado Jorge Taddei, quien buscará ser diputada local... ¡En la 4T todo queda en familia!",Durazo quiere la gubernatura... ¡Y su hermana una alcaldía!,https://www.eluniversal.com.mx/estados/durazo-quiere-la-gubernatura-y-su-hermana-una-alcaldia
"Con la finalidad de incorporar una nueva línea de envasado y un sistema de digitalización de procesos con tecnología de última generación, entre otras acciones, Nestlé México dio a conocer que invertirá 300 millones de pesos en su fábrica de cremadores COFFEE-MATE® , ubicada en Chiapa de Corzo.",Nestlé invierte 300 mdp y moderniza fábrica de COFFEE-MATE en Chiapas,https://www.eluniversal.com.mx/cartera/nestle-invierte-300-mdp-y-moderniza-fabrica-de-coffee-mate-en-chiapas
La Organización Mundial de la Salud (OMS) evalúa declarar “de interés” la variante del coronavirus detectada en México en octubre pasado.,,https://www.eluniversal.com.mx/mundo/covid-19-oms-evalua-declarar-de-interes-variante-detectada-en-mexico
"Hasta el momento no ha existido ningún acercamiento entre la Federación Mexicana de Futbol o Gerardo Martino, técnico de la Selección Nacional, para una posible vuelta de Javier Hernández a la Selección Nacional y el llamado Chicharito se dice consciente en que para que lo vuelvan a tomar en cuenta, tiene que aumentar mucho su nivel.","'Chicharito' Hernández, sin acercamientos para regresar a la Selección",https://www.eluniversal.com.mx/universal-deportes/futbol/chicharito-hernandez-sin-acercamientos-para-regresar-la-seleccion
"De las ironías que da la vida, Pete Rose se convirtió en el embajador de una casa de apuestas. ","Pete Rose, embajador de una casa de apuestas",https://www.eluniversal.com.mx/universal-deportes/beisbol/pete-rose-embajador-de-una-casa-de-apuestas
"
El español Pablo Carreño Busta derrotó al italiano Stefano Travaglia en sets corridos 7/5 y 7/6 en la primera ronda del Másters de Montecarlo 2021.","Tenistas se pelean, por culpa de una mujer",https://www.eluniversal.com.mx/universal-deportes/mas-deportes/tenistas-se-pelean-por-culpa-de-una-mujer
"Brozo decidió entrar a la cabeza del presidente Andrés Manuel López Obrador en donde, además de encontrar a personajes admirables para el mandatario, se topó con otros que han sido calificados como adversarios de la 4T.",,https://www.eluniversal.com.mx/nacion/brozo-y-loret-brindan-con-cervezas-morales-dentro-de-la-cabeza-de-amlo
"Cada vez son más las personas que se suman a la búsqueda y uso de productos naturales que beneficien al medio ambiente, esto como parte de un consumo responsable y ecofriendly. Dichas acciones se traspolan a diferentes industrias, incluyendo el mundo de la moda y la cosmética.",Estas son las mejores alternativas para cambiar tu color de pelo sin tinte,https://www.eluniversal.com.mx/de-ultima/opciones-naturales-para-tenir-el-pelo-sin-tintes-comerciales
